run_id,mode,k,warm,total_s,t_segments_done,tail_after_segs_s,dl_s,dl_mode,verify_s,concat_s,up_s,cnt_out_s,out_mb,up_mode
p1-stream-k12-ks5-0-12555c,after-stream,12,12,395.6,281.9,113.7,167.5,stream,0.0,17.9,85.2,,,
p1-stream-k12-ks5-1-1944ad,after-stream,12,12,317.4,218.7,98.7,127.3,stream,0.0,16.9,74.8,,,
p1-stream-k12-ks5-2-6eed4d,after-stream,12,12,335.9,227.4,108.5,120.0,stream,0.0,16.8,85.9,,,
p50-v3-k12-ks5-0-1f1d5e,before-nonstream,12,12,355.7,224.9,130.8,14.4,block,11.4,9.4,87.7,,,
p50-v3-k12-ks5-1-9d0411,before-nonstream,12,12,355.5,239.9,115.6,7.3,block,11.2,9.3,82.6,,,
p50-v3-k12-ks5-2-4187d6,before-nonstream,12,12,348.1,214.4,133.7,31.3,block,9.5,9.2,78.7,,,
p1-final-k12-ks5-0-66027a,after-s3-fastcnt,12,12,282.7,257.6,25.1,161.1,stream,0.0,13.4,7.8,0.3,321.1,s3-16x8
p1-final-k12-ks5-1-df572b,after-s3-fastcnt,12,12,168.5,145.7,22.8,84.3,stream,0.0,13.6,6.1,0.3,321.3,s3-16x8
p1-final-k12-ks5-2-b5a73a,after-s3-fastcnt,12,12,142.3,114.8,27.5,71.0,stream,0.0,13.5,6.3,0.3,320.6,s3-16x8
p1-final-k12-ks5-3-12cdb6,after-s3-fastcnt,12,12,162.6,129.0,33.6,79.8,stream,0.0,18.7,10.4,0.3,320.7,s3-16x8
p1-final-k12-ks5-4-ef6455,after-s3-fastcnt,12,12,153.0,125.5,27.5,73.0,stream,0.0,12.6,8.4,0.3,320.9,s3-16x8
