# RC4 P7 보조지표 — 글자잔상(glyph_ratio)·카드 잔존도(card_res)
# glyph_ratio: 원본 자막 획 위의 구조 에너지 / 같은 mask 안 배경의 구조 에너지.
#   1.0 근처 = 획 흔적 없음(좋음), 클수록 글자잔상 남음(나쁨). 합성검증: 깨끗 0.98 / 20%잔상 25.5 / 50%잔상 65.2
# glyph_contrast: 획 위와 배경의 밝기 차이(밝기 잔상). 낮을수록 좋음.
# card_res: |mask안-바깥링 밝기차(결과)| / |동일 차이(원본)|. 0=카드 완전제거, 1=카드 그대로.
#   ※ 원본에 실제 카드(면)가 있는 구간에서만 의미 있음. 카드가 없으면 분모가 작아 값이 튐(1 초과 = 해석 불가).
#   합성검증: 완전제거 0.000 / 50%잔존 0.500 / 그대로 1.000
# 실행: GitHub 러너 CPU, 동일 81프레임 창, 11 ROI × 5~6 후보 = 60행, fail=0
roi,cand,glyph_ratio,glyph_contrast,card_res
g26,cand_A,3.7585,12.214,0.5376
g26,cand_C_w0,1.7367,13.122,0.2204
g26,cand_E_w0,1.3878,13.428,0.2075
g26,cand_D,2.0712,11.705,0.5172
g26,cand_F,1.7573,10.964,0.5168
g27,cand_A,1.5328,6.326,0.2827
g27,cand_C_w0,2.6005,19.704,0.6986
g27,cand_E_w0,1.4252,3.489,0.212
g27,cand_D,1.3617,3.569,0.1163
g27,cand_F,1.3052,3.2,0.1593
g28,cand_A,5.3567,19.667,1.0413
g28,cand_C_w0,4.149,9.198,1.3907
g28,cand_E_w0,3.3143,6.203,1.2082
g28,cand_D,3.3013,11.957,1.114
g28,cand_F,2.6078,8.47,1.4935
g31,cand_A,2.672,11.957,0.2545
g31,cand_C_w0,1.9759,8.993,0.2136
g31,cand_E_w0,1.7073,5.993,0.2224
g31,cand_D,2.0651,6.647,0.293
g31,cand_F,1.9815,8.355,0.4358
g33,cand_A,3.0466,28.7,0.5328
g33,cand_C_w0,2.1111,36.333,0.313
g33,cand_E_w0,1.9606,36.286,0.3128
g33,cand_D,3.3396,29.233,0.4318
g33,cand_F,4.0914,29.602,0.4567
uat01_t100_115,cand_A,4.0613,39.812,0.6587
uat01_t100_115,cand_C_w0,2.6795,14.029,0.7123
uat01_t100_115,cand_E_w0,2.5796,12.312,0.6593
uat01_t100_115,cand_D,3.6868,38.304,0.753
uat01_t100_115,cand_F,3.8833,34.464,0.7491
uat01_t100_115,cand_V,7.0192,25.845,0.6509
uat01_t154,cand_A,1.611,15.598,1.0151
uat01_t154,cand_C_w0,1.7897,8.867,0.6723
uat01_t154,cand_E_w0,1.8307,11.082,1.3337
uat01_t154,cand_D,1.1674,5.828,1.3748
uat01_t154,cand_F,1.5095,10.38,1.2368
uat01_t154,cand_V,4.0716,12.906,1.0345
uat02_t5,cand_A,3.6617,11.437,1.3384
uat02_t5,cand_C_w0,1.9549,13.261,1.1389
uat02_t5,cand_E_w0,1.7475,9.342,1.1482
uat02_t5,cand_D,2.7469,5.062,1.2111
uat02_t5,cand_F,2.5026,8.719,1.2088
uat02_t5,cand_V,6.4014,7.773,1.0249
uat02_t92_112,cand_A,1.2065,27.954,0.6392
uat02_t92_112,cand_C_w0,1.645,16.051,0.9362
uat02_t92_112,cand_E_w0,1.5885,3.267,0.2465
uat02_t92_112,cand_D,1.1168,9.384,0.8276
uat02_t92_112,cand_F,0.986,16.506,0.9317
uat02_t92_112,cand_V,2.0785,4.664,0.1685
uat02_t143_161,cand_A,1.8861,26.531,1.9144
uat02_t143_161,cand_C_w0,1.1411,23.349,1.4894
uat02_t143_161,cand_E_w0,1.1563,22.15,1.7093
uat02_t143_161,cand_D,2.222,36.581,1.8448
uat02_t143_161,cand_F,1.6373,31.109,1.6923
uat02_t143_161,cand_V,1.7468,27.074,1.8993
uat03_t45_60,cand_A,1.0361,4.176,1.0536
uat03_t45_60,cand_C_w0,1.1642,2.374,0.7894
uat03_t45_60,cand_E_w0,1.1438,2.568,0.9056
uat03_t45_60,cand_D,1.0651,6.41,1.2248
uat03_t45_60,cand_F,0.9677,9.527,1.2806
