roi,cand,window,psnr_in,ssim_in,lpips_in,sharp_ratio,flicker,out_core_maxdiff,visual_note
g26,A,first81f,14.71,0.5,(미산출),1.106,0.875,63,
g26,C,first81f,16.63,0.5115,(미산출),0.997,0.825,3,
g26,E,first81f,15.58,0.4716,(미산출),0.977,0.89,3,
g26,D,first81f,13.52,0.4633,(미산출),0.925,0.775,3,
g26,F,first81f,14.39,0.4931,(미산출),0.842,0.752,3,
g27,A,first81f,14.27,0.3162,(미산출),0.662,0.657,73,
g27,C,first81f,12.83,0.3804,(미산출),0.471,0.729,3,
g27,E,first81f,16.1,0.3487,(미산출),0.804,0.879,4,
g27,D,first81f,12.98,0.2452,(미산출),0.895,0.871,3,
g27,F,first81f,13.36,0.2549,(미산출),0.57,0.68,3,
g28,A,first81f,17.54,0.6271,(미산출),1.266,0.779,75,
g28,C,first81f,18.27,0.5869,(미산출),1.204,0.903,5,
g28,E,first81f,17.57,0.5376,(미산출),0.951,0.885,5,
g28,D,first81f,16.26,0.5464,(미산출),1.167,0.998,3,
g28,F,first81f,16.2,0.5142,(미산출),1.062,0.875,5,
g31,A,first81f,16.98,0.5604,(미산출),1.26,0.684,75,
g31,C,first81f,16.71,0.4403,(미산출),1.274,0.952,3,
g31,E,first81f,15.76,0.4057,(미산출),1.094,0.955,3,
g31,D,first81f,15.44,0.4394,(미산출),1.409,1.039,4,
g31,F,first81f,14.67,0.4453,(미산출),1.185,0.916,5,
g33,A,first81f,19.21,0.6699,(미산출),0.84,0.862,61,
g33,C,first81f,18.08,0.5054,(미산출),0.83,0.785,3,
g33,E,first81f,18.22,0.4798,(미산출),0.73,0.679,3,
g33,D,first81f,11.88,0.6114,(미산출),0.665,1.104,1,
g33,F,first81f,15.99,0.5794,(미산출),1.011,0.97,1,
uat01_t100_115,A,first81f,,,,,7.676,255,
uat01_t100_115,C,first81f,,,,,4.278,3,
uat01_t100_115,E,first81f,,,,,4.423,3,
uat01_t100_115,D,first81f,,,,,8.512,5,
uat01_t100_115,F,first81f,,,,,8.06,5,
uat01_t154,A,first81f,,,,,6.582,255,검은 얼룩(기존 실패)
uat01_t154,C,first81f,,,,,7.326,3,회색 대야 물체 생성
uat01_t154,E,first81f,,,,,8.24,3,다리·발 복원(최우수 유지)
uat01_t154,D,first81f,,,,,9.914,3,자막 자리 녹색 글자형 잔상(chunk 문맥 부족)
uat01_t154,F,first81f,,,,,4.182,5,흐릿한 잔상+상단 흰 얼룩(문맥 부족)
uat02_t5,A,first81f,,,,,8.036,45,
uat02_t5,C,first81f,,,,,8.887,3,
uat02_t5,E,first81f,,,,,7.064,3,
uat02_t5,D,first81f,,,,,7.323,5,
uat02_t5,F,first81f,,,,,5.125,2,
uat02_t92_112,A,first81f,,,,,13.035,255,
uat02_t92_112,C,first81f,,,,,10.142,3,
uat02_t92_112,E,first81f,,,,,11.904,3,
uat02_t92_112,D,first81f,,,,,8.663,3,
uat02_t92_112,F,first81f,,,,,10.279,3,
uat02_t143_161,A,first81f,,,,,5.214,243,
uat02_t143_161,C,first81f,,,,,5.832,2,
uat02_t143_161,E,first81f,,,,,5.279,3,
uat02_t143_161,D,first81f,,,,,4.323,3,
uat02_t143_161,F,first81f,,,,,5.134,3,
uat03_t45_60,A,first81f,,,,,9.935,252,
uat03_t45_60,C,first81f,,,,,11.368,2,
uat03_t45_60,E,first81f,,,,,11.404,3,
uat03_t45_60,D,first81f,,,,,6.241,3,
uat03_t45_60,F,first81f,,,,,8.226,3,
