roi,cand,window,psnr_in,ssim_in,sharp_ratio,flicker,out_core_maxdiff,out_ring_maxdiff,psnr_v1,flicker_v1,delta_note
g26,A,first81f,14.71,0.5,1.106,0.875,63,63,14.71,0.875,불변(대조군)
g26,C_w0,first81f,16.63,0.5115,0.997,0.825,3,106,16.63,0.825,불변(대조군)
g26,E_w0,first81f,15.58,0.4716,0.977,0.89,3,112,15.58,0.89,불변(대조군)
g26,D,first81f,13.53,0.4637,0.913,0.834,4,106,13.52,0.775,psnr +0.01
g26,F,first81f,12.87,0.428,1.147,0.702,3,118,14.39,0.752,psnr -1.52
g27,A,first81f,14.27,0.3162,0.662,0.657,73,49,14.27,0.657,불변(대조군)
g27,C_w0,first81f,12.83,0.3804,0.471,0.729,3,99,12.83,0.729,불변(대조군)
g27,E_w0,first81f,16.1,0.3487,0.804,0.879,4,116,16.1,0.879,불변(대조군)
g27,D,first81f,13.1,0.2518,0.768,0.916,3,124,12.98,0.871,psnr +0.12
g27,F,first81f,12.84,0.2518,0.54,0.831,3,106,13.36,0.68,psnr -0.52
g28,A,first81f,17.54,0.6271,1.266,0.779,75,66,17.54,0.779,불변(대조군)
g28,C_w0,first81f,18.27,0.5869,1.204,0.903,5,165,18.27,0.903,불변(대조군)
g28,E_w0,first81f,17.57,0.5376,0.951,0.885,5,141,17.57,0.885,불변(대조군)
g28,D,first81f,14.71,0.5213,1.061,1.063,4,165,16.26,0.998,psnr -1.55
g28,F,first81f,14.27,0.4814,0.966,0.972,5,155,16.2,0.875,psnr -1.93
g31,A,first81f,16.98,0.5604,1.26,0.684,75,62,16.98,0.684,불변(대조군)
g31,C_w0,first81f,16.71,0.4403,1.274,0.952,3,140,16.71,0.952,불변(대조군)
g31,E_w0,first81f,15.76,0.4057,1.094,0.955,3,139,15.76,0.955,불변(대조군)
g31,D,first81f,14.87,0.4588,1.281,1.209,5,131,15.44,1.039,psnr -0.57
g31,F,first81f,14.39,0.4377,1.145,0.993,5,143,14.67,0.916,psnr -0.28
g33,A,first81f,19.21,0.6699,0.84,0.862,61,46,19.21,0.862,불변(대조군)
g33,C_w0,first81f,18.08,0.5054,0.83,0.785,3,98,18.08,0.785,불변(대조군)
g33,E_w0,first81f,18.22,0.4798,0.73,0.679,3,97,18.22,0.679,불변(대조군)
g33,D,first81f,13.45,0.5605,1.03,0.722,1,25,11.88,1.104,psnr +1.57
g33,F,first81f,16.4,0.6123,0.849,0.865,1,29,15.99,0.97,psnr +0.41 (F 골든 최고)
uat01_t100_115,A,first81f,,,,7.676,255,231,,7.676,불변(대조군)
uat01_t100_115,C_w0,first81f,,,,4.278,3,104,,4.278,불변(대조군)
uat01_t100_115,E_w0,first81f,,,,4.423,3,109,,4.423,불변(대조군)
uat01_t100_115,D,first81f,,,,7.905,5,134,,8.512,flicker 개선
uat01_t100_115,F,first81f,,,,7.672,5,134,,8.06,flicker 개선
uat01_t100_115,V(Vmake),first81f,,,,5.313,3,79,,,경쟁 서비스 참고
uat01_t154,A,first81f,,,,6.582,255,247,,6.582,불변(대조군)
uat01_t154,C_w0,first81f,,,,7.326,3,133,,7.326,불변(대조군)
uat01_t154,E_w0,first81f,,,,8.24,3,137,,8.24,불변(대조군)
uat01_t154,D,first81f,,,,6.569,3,129,,9.914,flicker -3.35 (v1 잔상 최악 사례)
uat01_t154,F,first81f,,,,5.699,3,140,,4.182,flicker +1.52
uat01_t154,V(Vmake),first81f,,,,6.766,2,123,,,경쟁 서비스 참고
uat02_t5,A,first81f,,,,8.036,45,50,,8.036,불변(대조군)
uat02_t5,C_w0,first81f,,,,8.887,3,97,,8.887,불변(대조군)
uat02_t5,E_w0,first81f,,,,7.064,3,94,,7.064,불변(대조군)
uat02_t5,D,first81f,,,,10.06,3,98,,7.323,flicker 악화
uat02_t5,F,first81f,,,,7.994,3,119,,5.125,flicker 악화
uat02_t5,V(Vmake),first81f,,,,9.484,2,93,,,경쟁 서비스 참고
uat02_t92_112,A,first81f,,,,13.035,255,250,,13.035,불변(대조군)
uat02_t92_112,C_w0,first81f,,,,10.142,3,81,,10.142,불변(대조군)
uat02_t92_112,E_w0,first81f,,,,11.904,3,89,,11.904,불변(대조군)
uat02_t92_112,D,first81f,,,,13.45,3,116,,8.663,flicker 악화
uat02_t92_112,F,first81f,,,,11.245,3,116,,10.279,flicker 악화
uat02_t92_112,V(Vmake),first81f,,,,10.857,2,85,,,경쟁 서비스 참고
uat02_t143_161,A,first81f,,,,5.214,243,224,,5.214,불변(대조군)
uat02_t143_161,C_w0,first81f,,,,5.832,2,80,,5.832,불변(대조군)
uat02_t143_161,E_w0,first81f,,,,5.279,3,96,,5.279,불변(대조군)
uat02_t143_161,D,first81f,,,,6.418,3,98,,4.323,flicker 악화
uat02_t143_161,F,first81f,,,,6.579,3,98,,5.134,flicker 악화
uat02_t143_161,V(Vmake),first81f,,,,4.159,2,81,,,경쟁 서비스 참고 (구간 최저)
uat03_t45_60,A,first81f,,,,9.935,252,224,,9.935,불변(대조군)
uat03_t45_60,C_w0,first81f,,,,11.368,2,130,,11.368,불변(대조군)
uat03_t45_60,E_w0,first81f,,,,11.404,3,125,,11.404,불변(대조군)
uat03_t45_60,D,first81f,,,,11.521,3,117,,6.241,flicker 악화
uat03_t45_60,F,first81f,,,,10.855,3,110,,8.226,flicker 악화
uat03_t45_60,V(Vmake),first81f,,,,,,,,,Vmake 원본 없음(uat03 미제공)
