roi,cand,gpu,cold_warm,model_load_s,inference_s,vram_gb,proc_size_hw,window,frames,precision,steps,seed,out_bytes,out_sha256,input_sha256,mask_sha256,run_id,result
g26,cand_E_w0,H100,cold,85.7,237.05,29.18,960x960,f0..f81(first 81f),81,BF16,20,43,5573671,8349a7d0db9e5ad0a9fe8251c4194e5d0d5df1f09f30472ece48cfcba2d0a166,ab1ff4b0784190e0282b65499bb010ab8c8db66f9a7f37fb5fe5cf241ff9104f,179163be31ec95e870095fda7201c0b2b27064e021c1e040ecb4f4f9740d6689,32475610320,success
g26,cand_C_w0,H100,cold,58.6,236.64,44.02,960x960,f0..f81(first 81f),81,BF16,20,43,5750107,37aa3f568b447e52873ee9facc862507d9d62ae85ba04630f0d167134a8fc3fd,ab1ff4b0784190e0282b65499bb010ab8c8db66f9a7f37fb5fe5cf241ff9104f,179163be31ec95e870095fda7201c0b2b27064e021c1e040ecb4f4f9740d6689,32475610320,success
g27,cand_E_w0,H100,cold,68.5,236.33,29.18,960x960,f0..f81(first 81f),81,BF16,20,43,5160297,8f57163ae871858886f826f362e379e61f506344ac74435e53303c73c0cdf56a,d6fe355cdfb0b84ac5815d4c6b5856cd76235b791ebc69030977b142746834fa,0c8c97afc1db498806906ebc3a36d84ba222ae4ae0a85f279a7953e15e15f705,32480364701,success
g28,cand_E_w0,H100,warm,0,236.43,29.18,960x960,f0..f81(first 81f),81,BF16,20,43,7868311,8fc6630319fc44dbcd21224b8f14012785ea9b0bfaf6858d0b6c0c78e74ff441,d0a716da90160e9a2d1b639c89cf35499e0c25341ee63d2402e428e02de55318,7b9d6699a38436854efa04620ff0c73b8c7f4bb5abf3ceee89a355a2bccdbcee,32480364701,success
g31,cand_E_w0,H100,warm,0,236.41,29.18,960x960,f0..f81(first 81f),81,BF16,20,43,10704921,d83088e1f1a2d41ec985e33a52aaf68189cce08f7cd60ae0cd5a8c3b36af468f,296418365181112dc918154e653f0d10de0f7e8541e83a59a37a58e35c54326b,73d0d91518c32322248edf42a9b89b2637d120d8d3b9535613b45088a4598c57,32480364701,success
g33,cand_E_w0,H100,warm,0,236.09,29.18,960x960,f0..f81(first 81f),81,BF16,20,43,4783464,7b76650ccc72cd93e7ef1bd5e7cff4fa3c86f7b426ff96df8979c4183ea96610,2e774d44c7c6acc8c0a6678430310a0b1db9b3787644a8a7beaeaed8bb7c7cbb,2997f297554e9b26039e8dd8d83c30b33f1282ac921fd08a92d51646d5dcca63,32480364701,success
uat01_t100_115,cand_E_w0,H100,warm,0,242.12,29.39,1328x704,f0..f81(first 81f),81,BF16,20,43,3412505,9797c84f584262f540c754c24e88b6005cd2c3c7af101f892b9fdbfe6d366975,e3955419bbd02f7c7ebaca21199f5e65149a2cf1d69dd24863f1def7a2dfcdd2,2fea0ab08eb23f4de83110420c421acc7e7ce3dcbda8515abc7295b1529872ff,32480364701,success
uat01_t154,cand_E_w0,H100,warm,0,241.98,29.39,1328x704,f0..f81(first 81f),81,BF16,20,43,3778946,53dcb80a23560911c5be0c62d06f45de23a954a2338dad5d13fcf56d5b86ce0b,656caea6d7b43f5a8eea6541491bc606c418db0564d90fc8fb6458e312105305,05dff6e43d291624416fba51f64cb245ea126b6000e88bd5a361665f396c4de7,32480364701,success
uat02_t5,cand_E_w0,H100,warm,0,241.98,29.39,1328x704,f0..f81(first 81f),81,BF16,20,43,6631212,b7b3d7b1ebd1eeb3156f6e2fe4f262590f8b4935fcfea97f19b70d9f398cfffc,bf19317b29641c50d195d1621abd80cf3f272e54f46fcf1a1eed16bb820c1c98,00a5a5e4b5498e380e4924be2194e173f72cfe069ca0233fdc187b46e4dde05a,32480364701,success
uat02_t92_112,cand_E_w0,H100,warm,0,242.02,29.39,1328x704,f0..f81(first 81f),81,BF16,20,43,3288198,8f3c51e3e18556943c708daddaf5eeae8fc90d4977fc0747524f7392cda2a1df,9e8adf985d5b83721759158ab5f88a1dfe2583c99641e9e971637302a67b38a0,59b5ddc3d8a079d5480f3c2f5ab79fb494fcd03c315c6dc277eb3091e1318be4,32480364701,success
uat02_t143_161,cand_E_w0,H100,warm,0,241.87,29.39,1328x704,f0..f81(first 81f),81,BF16,20,43,3018891,5bdc0d44e5b99c9f8b1d6f5280a8a7148844542a38cbf83138aa05c719012232,a1e250e62b44f8e9d5391ba6f3354cd66093d8e6df7d5c604abdc3fca2fa3935,75ad10165c8ef317edd79ff7aa81a51d99c84964c22fa5f3db7169adace03587,32480364701,success
uat03_t45_60,cand_E_w0,H100,warm,0,236.2,29.18,1280x720,f0..f81(first 81f),81,BF16,20,43,4399025,c9a298477d123261e1882ad989db0b0b70041c0cb15be1db51443c27be278695,fc4ebf5005ff84ae74a91eee4da7902558f93035fef8bf34008e07140d747792,a504aebdb4b66de7b61852f6b23d747fad471f57ac960a8c95deca031f12c98c,32480364701,success
g27,cand_C_w0,H100,cold,51,235.89,44.02,960x960,f0..f81(first 81f),81,BF16,20,43,4915171,c1b94d816744f40c6fd215792f4c0c8fb5ce9c5ebd0b5002d4ee99e4b3fa53d4,d6fe355cdfb0b84ac5815d4c6b5856cd76235b791ebc69030977b142746834fa,0c8c97afc1db498806906ebc3a36d84ba222ae4ae0a85f279a7953e15e15f705,32480364701,success
g28,cand_C_w0,H100,warm,0,236.42,44.02,960x960,f0..f81(first 81f),81,BF16,20,43,8420415,2f0272d453b52fe2bdad02c6ddea2b691b677befdb1b57ac0940e51f3a320925,d0a716da90160e9a2d1b639c89cf35499e0c25341ee63d2402e428e02de55318,7b9d6699a38436854efa04620ff0c73b8c7f4bb5abf3ceee89a355a2bccdbcee,32480364701,success
g31,cand_C_w0,H100,warm,0,236.28,44.02,960x960,f0..f81(first 81f),81,BF16,20,43,10521407,3f158dc803b39cb3a82c69dd67837c2c13f82a6b3d07600828929a765ef56266,296418365181112dc918154e653f0d10de0f7e8541e83a59a37a58e35c54326b,73d0d91518c32322248edf42a9b89b2637d120d8d3b9535613b45088a4598c57,32480364701,success
g33,cand_C_w0,H100,warm,0,236.19,44.02,960x960,f0..f81(first 81f),81,BF16,20,43,5060359,70b4caa589480d762efd9c04023f52be2753fbb3c8d371c56f3abe8a304cab95,2e774d44c7c6acc8c0a6678430310a0b1db9b3787644a8a7beaeaed8bb7c7cbb,2997f297554e9b26039e8dd8d83c30b33f1282ac921fd08a92d51646d5dcca63,32480364701,success
