roi,cand,window,frames,psnr_in,ssim_in,lpips_in,sharp_ratio,flicker,out_core_maxdiff,out_ring_maxdiff,gpu,infer_s,cost_usd,license,visual_note
g26,A,first81f,81,14.71,0.5,(측정예정),1.108,0.875,63,63,L40S(파이프라인),,,GREEN(자체),카드 잔상/뿌연 띠
g26,C,first81f,81,16.63,0.5115,(측정예정),0.998,0.825,3,106,H100,236.64,0.26,GREEN(Apache),카드 소거·무늬 복원
g26,E,first81f,81,15.58,0.4716,(측정예정),0.978,0.89,3,112,H100,237.05,0.26,GREEN(Apache),카드 소거·무늬 복원
g27,A,first81f,81,14.27,0.3161,(측정예정),0.662,0.657,73,49,L40S(파이프라인),,,GREEN(자체),
g27,C,first81f,81,12.83,0.3803,(측정예정),0.471,0.729,3,99,H100,235.89,0.259,GREEN(Apache),
g27,E,first81f,81,16.1,0.3487,(측정예정),0.804,0.879,4,116,H100,236.33,0.259,GREEN(Apache),
g28,A,first81f,81,17.54,0.6271,(측정예정),1.265,0.779,75,66,L40S(파이프라인),,,GREEN(자체),
g28,C,first81f,81,18.27,0.5869,(측정예정),1.202,0.903,5,165,H100,236.42,0.259,GREEN(Apache),
g28,E,first81f,81,17.57,0.5376,(측정예정),0.949,0.885,5,141,H100,236.43,0.259,GREEN(Apache),
g31,A,first81f,81,16.98,0.5604,(측정예정),1.26,0.684,75,62,L40S(파이프라인),,,GREEN(자체),
g31,C,first81f,81,16.71,0.4403,(측정예정),1.274,0.952,3,140,H100,236.28,0.259,GREEN(Apache),
g31,E,first81f,81,15.76,0.4057,(측정예정),1.094,0.955,3,139,H100,236.41,0.259,GREEN(Apache),
g33,A,first81f,81,19.21,0.6699,(측정예정),0.839,0.862,61,46,L40S(파이프라인),,,GREEN(자체),
g33,C,first81f,81,18.08,0.5054,(측정예정),0.831,0.785,3,98,H100,236.19,0.259,GREEN(Apache),
g33,E,first81f,81,18.22,0.4798,(측정예정),0.731,0.679,3,97,H100,236.09,0.259,GREEN(Apache),
uat01_t100_115,A,first81f,81,,,(측정예정),,7.676,255,231,L40S(파이프라인),,,GREEN(자체),
uat01_t100_115,C,first81f,81,,,(측정예정),,4.278,3,104,H100,242.03,0.266,GREEN(Apache),
uat01_t100_115,E,first81f,81,,,(측정예정),,4.423,3,109,H100,242.12,0.266,GREEN(Apache),
uat01_t154,A,first81f,81,,,(측정예정),,6.582,255,247,L40S(파이프라인),,,GREEN(자체),검은 얼룩·다리 뭉갬(알려진 실패)
uat01_t154,C,first81f,81,,,(측정예정),,7.326,3,133,H100,241.84,0.265,GREEN(Apache),자막 제거되나 회색 대야 물체 생성(hallucination)
uat01_t154,E,first81f,81,,,(측정예정),,8.24,3,137,H100,241.98,0.265,GREEN(Apache),"아이 다리·발 복원, 자연스러움"
uat02_t5,A,first81f,81,,,(측정예정),,8.036,45,50,L40S(파이프라인),,,GREEN(자체),
uat02_t5,C,first81f,81,,,(측정예정),,8.887,3,97,H100,241.97,0.265,GREEN(Apache),
uat02_t5,E,first81f,81,,,(측정예정),,7.064,3,94,H100,241.98,0.265,GREEN(Apache),
uat02_t92_112,A,first81f,81,,,(측정예정),,13.035,255,250,L40S(파이프라인),,,GREEN(자체),글자가 읽히는 카드 잔상(탈락 사유급)
uat02_t92_112,C,first81f,81,,,(측정예정),,10.142,3,81,H100,241.92,0.265,GREEN(Apache),카드 자리에 흰 물체 생성(hallucination)
uat02_t92_112,E,first81f,81,,,(측정예정),,11.904,3,89,H100,242.02,0.265,GREEN(Apache),카드 완전 소거·무릎/웍 복원
uat02_t143_161,A,first81f,81,,,(측정예정),,5.214,243,224,L40S(파이프라인),,,GREEN(자체),
uat02_t143_161,C,first81f,81,,,(측정예정),,5.832,3,80,H100,241.9,0.265,GREEN(Apache),
uat02_t143_161,E,first81f,81,,,(측정예정),,5.279,3,96,H100,241.87,0.265,GREEN(Apache),
uat03_t45_60,A,first81f,81,,,(측정예정),,9.935,252,224,L40S(파이프라인),,,GREEN(자체),
uat03_t45_60,C,first81f,81,,,(측정예정),,11.368,2,130,H100,235.98,0.259,GREEN(Apache),
uat03_t45_60,E,first81f,81,,,(측정예정),,11.404,3,125,H100,236.2,0.259,GREEN(Apache),
