burst,warm,hedge_s,p50_s,p95_s,gpu_busy_s,warm_idle_s,cost_per_job_usd
1,0,0,329.9,361.4,800.0,0.0,0.4335
1,0,15,323.6,362.3,1600.0,0.0,0.8667
1,0,30,328.1,359.6,1601.0,0.0,0.867
1,0,60,331.8,363.5,1308.0,0.0,0.7085
1,0,120,329.4,362.5,798.0,0.0,0.4322
1,1,0,320.6,349.7,795.0,0.0,0.4306
1,1,15,318.8,349.5,1597.0,0.0,0.8649
1,1,30,318.9,353.1,1597.0,0.0,0.8651
1,1,60,320.9,358.4,1310.0,0.0,0.7098
1,1,120,323.9,359.5,802.0,0.0,0.4343
1,2,0,314.5,350.2,800.0,0.0,0.4333
1,2,15,308.6,342.9,1593.0,0.0,0.8627
1,2,30,313.4,342.6,1591.0,0.0,0.862
1,2,60,315.2,350.4,1327.0,0.0,0.7188
1,2,120,311.4,347.7,805.0,0.0,0.4359
1,3,0,303.1,343.1,798.0,116.0,0.4951
1,3,15,300.0,334.9,1594.0,0.0,0.8635
1,3,30,303.8,338.6,1605.0,0.0,0.8696
1,3,60,304.4,336.8,1298.0,0.0,0.703
1,3,120,302.6,337.5,797.0,115.0,0.494
1,4,0,289.7,323.3,797.0,367.0,0.6305
1,4,15,285.0,316.3,1597.0,0.0,0.865
1,4,30,289.4,322.5,1597.0,0.0,0.8652
1,4,60,291.6,327.2,1303.0,13.0,0.7128
1,4,120,288.2,318.6,804.0,352.0,0.6267
1,6,0,250.7,280.2,802.0,704.0,0.8153
1,6,15,242.3,274.4,1599.0,5.0,0.8687
1,6,30,249.2,275.9,1602.0,9.0,0.8723
1,6,60,251.4,280.4,1302.0,214.0,0.8213
1,6,120,250.5,283.9,803.0,709.0,0.8191
3,0,0,323.7,351.1,2388.0,0.0,0.4312
3,0,15,320.0,348.3,4784.0,0.0,0.8638
3,0,30,323.3,350.1,4786.0,0.0,0.8641
3,0,60,326.2,353.4,3945.0,0.0,0.7123
3,0,120,324.1,354.8,2393.0,0.0,0.4321
3,1,0,323.2,353.2,2394.0,0.0,0.4322
3,1,15,318.0,345.4,4791.0,0.0,0.8651
3,1,30,321.5,349.2,4799.0,0.0,0.8665
3,1,60,324.3,352.6,3914.0,0.0,0.7066
3,1,120,323.5,350.6,2399.0,0.0,0.4331
3,2,0,321.5,349.7,2394.0,0.0,0.4322
3,2,15,314.9,342.7,4799.0,0.0,0.8666
3,2,30,319.0,348.9,4789.0,0.0,0.8647
3,2,60,319.4,353.7,3901.0,0.0,0.7043
3,2,120,321.0,351.9,2397.0,0.0,0.4327
3,3,0,318.2,348.7,2399.0,0.0,0.4332
3,3,15,311.5,341.6,4785.0,0.0,0.8639
3,3,30,315.5,346.0,4792.0,0.0,0.8653
3,3,60,316.6,349.9,3913.0,0.0,0.7064
3,3,120,316.0,347.3,2383.0,0.0,0.4303
3,4,0,311.9,347.7,2391.0,0.0,0.4318
3,4,15,308.7,340.3,4791.0,0.0,0.8651
3,4,30,313.3,344.9,4792.0,0.0,0.8653
3,4,60,313.2,345.8,3892.0,0.0,0.7026
3,4,120,313.6,347.7,2405.0,0.0,0.4343
3,6,0,303.2,342.8,2402.0,0.0,0.4336
3,6,15,298.8,336.3,4793.0,0.0,0.8654
3,6,30,302.7,338.3,4789.0,0.0,0.8647
3,6,60,304.5,344.4,3878.0,0.0,0.7002
3,6,120,305.2,345.1,2405.0,0.0,0.4342
5,0,0,333.5,381.1,3986.0,0.0,0.4318
5,0,15,327.5,374.8,7980.0,0.0,0.8645
5,0,30,331.7,380.7,7999.0,0.0,0.8665
5,0,60,334.5,383.9,6493.0,0.0,0.7034
5,0,120,333.7,384.0,4005.0,0.0,0.4338
5,1,0,331.8,380.9,3995.0,0.0,0.4328
5,1,15,323.9,371.6,7987.0,0.0,0.8652
5,1,30,328.6,377.7,7999.0,0.0,0.8665
5,1,60,330.1,380.3,6515.0,0.0,0.7058
5,1,120,331.4,378.8,3984.0,0.0,0.4316
5,2,0,327.2,374.1,3981.0,0.0,0.4313
5,2,15,322.0,369.3,7998.0,0.0,0.8665
5,2,30,326.1,372.3,7995.0,0.0,0.8661
5,2,60,328.0,375.2,6503.0,0.0,0.7045
5,2,120,327.5,375.8,3997.0,0.0,0.433
5,3,0,324.3,371.9,3981.0,0.0,0.4313
5,3,15,319.2,363.4,7977.0,0.0,0.8642
5,3,30,323.2,368.2,7987.0,0.0,0.8652
5,3,60,324.7,372.9,6535.0,0.0,0.708
5,3,120,324.2,369.5,3987.0,0.0,0.4319
5,4,0,320.8,366.6,3994.0,0.0,0.4327
5,4,15,314.9,359.9,7969.0,0.0,0.8633
5,4,30,320.2,365.3,7983.0,0.0,0.8648
5,4,60,321.9,367.0,6501.0,0.0,0.7043
5,4,120,320.8,367.6,3992.0,0.0,0.4324
5,6,0,316.8,359.5,3991.0,0.0,0.4324
5,6,15,310.3,352.2,7988.0,0.0,0.8654
5,6,30,315.0,356.9,7980.0,0.0,0.8645
5,6,60,315.6,360.5,6512.0,0.0,0.7054
5,6,120,316.6,362.6,4001.0,0.0,0.4335
9,0,0,372.1,472.2,7192.0,0.0,0.4328
9,0,15,364.0,465.5,14383.0,0.0,0.8656
9,0,30,368.3,470.1,14376.0,0.0,0.8652
9,0,60,371.7,472.7,11733.0,0.0,0.7061
9,0,120,372.1,473.1,7188.0,0.0,0.4326
9,1,0,366.0,466.3,7185.0,0.0,0.4324
9,1,15,359.4,459.8,14375.0,0.0,0.8652
9,1,30,363.9,465.8,14368.0,0.0,0.8647
9,1,60,366.6,468.4,11729.0,0.0,0.7059
9,1,120,367.5,468.4,7188.0,0.0,0.4326
9,2,0,360.0,462.4,7185.0,0.0,0.4324
9,2,15,354.8,456.3,14372.0,0.0,0.865
9,2,30,359.5,461.5,14368.0,0.0,0.8647
9,2,60,362.9,463.7,11707.0,0.0,0.7046
9,2,120,363.4,464.1,7182.0,0.0,0.4323
9,3,0,357.9,459.7,7184.0,0.0,0.4323
9,3,15,351.7,452.2,14381.0,0.0,0.8655
9,3,30,355.8,458.2,14360.0,0.0,0.8642
