gh_run,run_id,label,k,key_step,seg,exec_s,model_load_s,mask_s,ai_s,crop_dec_s,comp_enc_s,up_s,worker_request_at,container_assigned_at,queue_wait_s,run_seg_wall_s,run_alloc_tail_lower_bound_s,run_cold_model_count,total_s,result
32020239193,smoke-k10-ks5-0-1a69ff,smoke,10,5,0,123.8,0.0,11.4,49.0,29.9,19.3,5.2,미측정,미측정,미측정(run 하한만),166.1,0,5,400.3,OK
32020239193,smoke-k10-ks5-0-1a69ff,smoke,10,5,1,138.9,0.0,12.4,59.0,35.4,16.7,6.5,미측정,미측정,미측정(run 하한만),166.1,0,5,400.3,OK
32020239193,smoke-k10-ks5-0-1a69ff,smoke,10,5,2,166.3,0.0,15.6,72.9,41.0,17.8,10.1,미측정,미측정,미측정(run 하한만),166.1,0,5,400.3,OK
32020239193,smoke-k10-ks5-0-1a69ff,smoke,10,5,3,133.2,0.0,11.5,54.1,34.9,20.0,4.1,미측정,미측정,미측정(run 하한만),166.1,0,5,400.3,OK
32020239193,smoke-k10-ks5-0-1a69ff,smoke,10,5,4,111.1,0.0,11.3,39.7,31.2,15.5,4.7,미측정,미측정,미측정(run 하한만),166.1,0,5,400.3,OK
32020239193,smoke-k10-ks5-0-1a69ff,smoke,10,5,5,116.4,6.4,11.4,35.7,35.9,13.5,4.8,미측정,미측정,미측정(run 하한만),166.1,0,5,400.3,OK
32020239193,smoke-k10-ks5-0-1a69ff,smoke,10,5,6,102.2,6.5,9.8,27.7,31.6,12.8,3.9,미측정,미측정,미측정(run 하한만),166.1,0,5,400.3,OK
32020239193,smoke-k10-ks5-0-1a69ff,smoke,10,5,7,132.2,6.6,12.3,47.4,37.2,17.3,2.4,미측정,미측정,미측정(run 하한만),166.1,0,5,400.3,OK
32020239193,smoke-k10-ks5-0-1a69ff,smoke,10,5,8,138.8,6.6,14.1,53.4,34.4,17.0,4.7,미측정,미측정,미측정(run 하한만),166.1,0,5,400.3,OK
32020239193,smoke-k10-ks5-0-1a69ff,smoke,10,5,9,132.7,6.7,12.8,48.5,36.8,15.8,3.8,미측정,미측정,미측정(run 하한만),166.1,0,5,400.3,OK
32022220959,exact-anchor-k10-ks1-0-bc4872,exact-anchor,10,1,0,146.7,0.0,34.1,53.3,26.0,18.4,5.5,미측정,미측정,미측정(run 하한만),213.9,0,5,456.0,OK
32022220959,exact-anchor-k10-ks1-0-bc4872,exact-anchor,10,1,1,178.2,0.0,47.9,60.8,35.4,21.5,3.9,미측정,미측정,미측정(run 하한만),213.9,0,5,456.0,OK
32022220959,exact-anchor-k10-ks1-0-bc4872,exact-anchor,10,1,2,214.2,0.0,61.9,73.2,43.2,22.0,5.3,미측정,미측정,미측정(run 하한만),213.9,0,5,456.0,OK
32022220959,exact-anchor-k10-ks1-0-bc4872,exact-anchor,10,1,3,137.0,0.0,32.3,52.8,27.2,18.0,1.9,미측정,미측정,미측정(run 하한만),213.9,0,5,456.0,OK
32022220959,exact-anchor-k10-ks1-0-bc4872,exact-anchor,10,1,4,132.5,0.0,32.9,39.7,30.9,14.8,4.4,미측정,미측정,미측정(run 하한만),213.9,0,5,456.0,OK
32022220959,exact-anchor-k10-ks1-0-bc4872,exact-anchor,10,1,5,145.4,6.6,40.0,36.6,36.1,14.3,3.7,미측정,미측정,미측정(run 하한만),213.9,0,5,456.0,OK
32022220959,exact-anchor-k10-ks1-0-bc4872,exact-anchor,10,1,6,118.2,6.8,29.9,26.3,31.7,13.1,3.1,미측정,미측정,미측정(run 하한만),213.9,0,5,456.0,OK
32022220959,exact-anchor-k10-ks1-0-bc4872,exact-anchor,10,1,7,164.6,6.5,43.8,49.3,36.6,16.0,4.4,미측정,미측정,미측정(run 하한만),213.9,0,5,456.0,OK
32022220959,exact-anchor-k10-ks1-0-bc4872,exact-anchor,10,1,8,170.7,6.8,53.5,50.1,32.6,15.3,4.3,미측정,미측정,미측정(run 하한만),213.9,0,5,456.0,OK
32022220959,exact-anchor-k10-ks1-0-bc4872,exact-anchor,10,1,9,165.9,6.5,46.7,49.0,36.4,15.8,4.1,미측정,미측정,미측정(run 하한만),213.9,0,5,456.0,OK
32024159741,ks3-singles-k10-ks3-0-7458b2,ks3-singles,10,3,0,122.7,0.0,14.4,55.4,22.3,20.2,4.4,미측정,미측정,미측정(run 하한만),304.4,147.2,8,542.6,OK
32024159741,ks3-singles-k10-ks3-0-7458b2,ks3-singles,10,3,1,143.2,5.8,20.6,51.4,30.4,20.3,5.9,미측정,미측정,미측정(run 하한만),304.4,147.2,8,542.6,OK
32024159741,ks3-singles-k10-ks3-0-7458b2,ks3-singles,10,3,2,157.2,5.3,22.0,71.8,29.6,21.4,2.6,미측정,미측정,미측정(run 하한만),304.4,147.2,8,542.6,OK
32024159741,ks3-singles-k10-ks3-0-7458b2,ks3-singles,10,3,3,152.3,7.0,23.6,53.0,35.9,17.3,6.5,미측정,미측정,미측정(run 하한만),304.4,147.2,8,542.6,OK
32024159741,ks3-singles-k10-ks3-0-7458b2,ks3-singles,10,3,4,119.6,5.6,15.1,43.1,26.9,16.2,4.3,미측정,미측정,미측정(run 하한만),304.4,147.2,8,542.6,OK
32024159741,ks3-singles-k10-ks3-0-7458b2,ks3-singles,10,3,5,128.9,6.6,21.7,36.4,36.1,15.0,4.8,미측정,미측정,미측정(run 하한만),304.4,147.2,8,542.6,OK
32024159741,ks3-singles-k10-ks3-0-7458b2,ks3-singles,10,3,6,80.8,0.0,9.1,27.1,26.7,13.9,3.0,미측정,미측정,미측정(run 하한만),304.4,147.2,8,542.6,OK
32024159741,ks3-singles-k10-ks3-0-7458b2,ks3-singles,10,3,7,151.7,6.4,24.6,55.6,36.6,18.3,2.3,미측정,미측정,미측정(run 하한만),304.4,147.2,8,542.6,OK
32024159741,ks3-singles-k10-ks3-0-7458b2,ks3-singles,10,3,8,145.8,6.7,25.1,51.4,32.5,17.8,4.1,미측정,미측정,미측정(run 하한만),304.4,147.2,8,542.6,OK
32024159741,ks3-singles-k10-ks3-0-7458b2,ks3-singles,10,3,9,138.0,6.6,24.1,45.3,36.7,14.0,3.4,미측정,미측정,미측정(run 하한만),304.4,147.2,8,542.6,OK
32027074129,p50-cand-k10-ks5-0-4a3573,p50-cand,10,5,0,129.7,0.0,18.1,49.8,29.9,19.0,4.0,미측정,미측정,미측정(run 하한만),168.5,0,5,372.3,OK
